"view","feature","method","dataset_name"
"A_BLOCK","A362","cplr","multiomics-sim1"
"A_BLOCK","A22","cplr","multiomics-sim1"
"A_BLOCK","A99","cplr","multiomics-sim1"
"A_BLOCK","A65","cplr","multiomics-sim1"
"A_BLOCK","A16","cplr","multiomics-sim1"
"A_BLOCK","A27","cplr","multiomics-sim1"
"A_BLOCK","A14","cplr","multiomics-sim1"
"A_BLOCK","A164","cplr","multiomics-sim1"
"A_BLOCK","A221","cplr","multiomics-sim1"
"A_BLOCK","A298","cplr","multiomics-sim1"
"A_BLOCK","A154","cplr","multiomics-sim1"
"B_BLOCK","B173","cplr","multiomics-sim1"
"B_BLOCK","B162","cplr","multiomics-sim1"
"B_BLOCK","B14","cplr","multiomics-sim1"
"B_BLOCK","B347","cplr","multiomics-sim1"
"B_BLOCK","B16","cplr","multiomics-sim1"
"B_BLOCK","B27","cplr","multiomics-sim1"
"B_BLOCK","B22","cplr","multiomics-sim1"
"B_BLOCK","B547","cplr","multiomics-sim1"
"B_BLOCK","B759","cplr","multiomics-sim1"
"B_BLOCK","B249","cplr","multiomics-sim1"
"B_BLOCK","B795","cplr","multiomics-sim1"
"B_BLOCK","B356","cplr","multiomics-sim1"
"B_BLOCK","B212","cplr","multiomics-sim1"
"B_BLOCK","B276","cplr","multiomics-sim1"
"B_BLOCK","B500","cplr","multiomics-sim1"
"B_BLOCK","B29","cplr","multiomics-sim1"
"C_BLOCK","C66","cplr","multiomics-sim1"
"C_BLOCK","C323","cplr","multiomics-sim1"
"C_BLOCK","C16","cplr","multiomics-sim1"
"C_BLOCK","C150","cplr","multiomics-sim1"
"C_BLOCK","C27","cplr","multiomics-sim1"
"C_BLOCK","C22","cplr","multiomics-sim1"
"C_BLOCK","C14","cplr","multiomics-sim1"
"C_BLOCK","C145","cplr","multiomics-sim1"
"C_BLOCK","C19","cplr","multiomics-sim1"
"C_BLOCK","C254","cplr","multiomics-sim1"
"C_BLOCK","C29","cplr","multiomics-sim1"
