feat_name,omics,imp,method,dataset_name
B405,0,46.15862068965519,mogonet,multiomics-sim2
B462,0,46.15862068965519,mogonet,multiomics-sim2
B701,0,46.15862068965519,mogonet,multiomics-sim2
B434,0,46.15862068965519,mogonet,multiomics-sim2
B233,0,33.25714285714288,mogonet,multiomics-sim2
B717,0,33.25714285714288,mogonet,multiomics-sim2
B122,0,33.25714285714288,mogonet,multiomics-sim2
B288,0,33.25714285714288,mogonet,multiomics-sim2
B167,0,33.25714285714288,mogonet,multiomics-sim2
B267,0,33.25714285714288,mogonet,multiomics-sim2
B411,0,33.25714285714288,mogonet,multiomics-sim2
B699,0,33.25714285714288,mogonet,multiomics-sim2
B404,0,33.25714285714288,mogonet,multiomics-sim2
B681,0,33.25714285714288,mogonet,multiomics-sim2
B245,0,33.25714285714288,mogonet,multiomics-sim2
B655,0,33.25714285714288,mogonet,multiomics-sim2
B207,0,33.25714285714288,mogonet,multiomics-sim2
B116,0,33.25714285714288,mogonet,multiomics-sim2
B629,0,33.25714285714288,mogonet,multiomics-sim2
B296,0,33.25714285714288,mogonet,multiomics-sim2
B438,0,33.25714285714288,mogonet,multiomics-sim2
B299,0,33.25714285714288,mogonet,multiomics-sim2
B99,0,33.25714285714288,mogonet,multiomics-sim2
A160,1,33.148717948717966,mogonet,multiomics-sim2
C29,2,30.137931034482765,mogonet,multiomics-sim2
A178,1,26.933333333333326,mogonet,multiomics-sim2
A310,1,26.933333333333326,mogonet,multiomics-sim2
A111,1,26.933333333333326,mogonet,multiomics-sim2
C10,2,21.714285714285733,mogonet,multiomics-sim2
A56,1,21.36091954022989,mogonet,multiomics-sim2
