feat_name,omics,imp,method,dataset_name
stroma.score,2,0.0,mogonet,GSE71669
7896746,0,0.0,mogonet,GSE71669
7896754,0,0.0,mogonet,GSE71669
7896759,0,0.0,mogonet,GSE71669
7896761,0,0.0,mogonet,GSE71669
7896779,0,0.0,mogonet,GSE71669
7896798,0,0.0,mogonet,GSE71669
7896817,0,0.0,mogonet,GSE71669
7896822,0,0.0,mogonet,GSE71669
7896859,0,0.0,mogonet,GSE71669
7896861,0,0.0,mogonet,GSE71669
7896863,0,0.0,mogonet,GSE71669
7896865,0,0.0,mogonet,GSE71669
7896878,0,0.0,mogonet,GSE71669
7896882,0,0.0,mogonet,GSE71669
cg27625732,1,0.0,mogonet,GSE71669
cg27626102,1,0.0,mogonet,GSE71669
cg27626299,1,0.0,mogonet,GSE71669
cg27626318,1,0.0,mogonet,GSE71669
cg27626424,1,0.0,mogonet,GSE71669
cg27626899,1,0.0,mogonet,GSE71669
cg27627570,1,0.0,mogonet,GSE71669
cg27628312,1,0.0,mogonet,GSE71669
cg27610561,1,0.0,mogonet,GSE71669
cg27611665,1,0.0,mogonet,GSE71669
cg27611781,1,0.0,mogonet,GSE71669
cg27613076,1,0.0,mogonet,GSE71669
cg27614038,1,0.0,mogonet,GSE71669
cg27619475,1,0.0,mogonet,GSE71669
cg27622610,1,0.0,mogonet,GSE71669
